"filename", "language", "PHP", "Markdown", "JavaScript", "SQL", "JSON with Comments", "CSS", "comment", "blank", "total"
"e:\Logiciels\xampp\htdocs\pdv\src\views\ViewProfileCustomer.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 11, 39
"e:\Logiciels\xampp\htdocs\pdv\src\views\ViewRecoveryPassword.php", "PHP", 42, 0, 0, 0, 0, 0, 2, 21, 65
"e:\Logiciels\xampp\htdocs\pdv\src\views\accueil.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 6, 21
"e:\Logiciels\xampp\htdocs\pdv\src\views\formArticle.php", "PHP", 69, 0, 0, 0, 0, 0, 6, 7, 82
"e:\Logiciels\xampp\htdocs\pdv\src\views\formCaract.php", "PHP", 28, 0, 0, 0, 0, 0, 2, 3, 33
"e:\Logiciels\xampp\htdocs\pdv\src\views\formCaractInFormArticle.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 3, 24
"e:\Logiciels\xampp\htdocs\pdv\src\views\template.php", "PHP", 154, 0, 0, 0, 0, 0, 17, 43, 214
"e:\Logiciels\xampp\htdocs\pdv\src\views\viewLoginCustomer.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 6, 12
"e:\Logiciels\xampp\htdocs\pdv\src\views\viewProducts.php", "PHP", 57, 0, 0, 0, 0, 0, 2, 16, 75
"e:\Logiciels\xampp\htdocs\pdv\src\views\viewProductsMobile.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 3, 10
"e:\Logiciels\xampp\htdocs\pdv\src\views\workspace.code-workspace", "JSON with Comments", 0, 0, 0, 0, 8, 0, 0, 0, 8
"Total", "-", 2117, 2, 1, 183, 8, 1719, 503, 1100, 5633
